gid;Modelo;Num. Banco;Emplazamiento;Num. Policia;Distrito;Barrio;Año Instalacion;geo_point_2d
414;;4253;CARRER PERE III EL GRAN 9ac;;2 - L'EIXAMPLE;1 - RUSSAFA;;39.462305883075906, -0.3699645810531347
415;mediterraneo;4252;CARRER PERE III EL GRAN 10;;2 - L'EIXAMPLE;1 - RUSSAFA;;39.46215844284333, -0.36990879063646964
417;;4246;CARRER PIUS XI 6;;8 - PATRAIX;1 - PATRAIX;;39.4598516523674, -0.39241259168008386
423;romanico;4239;CARRER CÒRDOVA 9ac;;18 - POBLATS DE L'OEST;2 - BENIFERRI;;39.49504997764612, -0.40500875106800077
426;valencia;4234;CARRER CÒRDOVA 3;;18 - POBLATS DE L'OEST;2 - BENIFERRI;;39.49435741692153, -0.40469761507192564
436;NEOBARCINO;4223;PLAÇA SANTIAGO SUÁREZ (SANTI) 3ac;;9 - JESUS;2 - L'HORT DE SENABRE;;39.45305366604902, -0.3879258791999808
437;NEOBARCINO;4222;PLAÇA SANTIAGO SUÁREZ (SANTI) 1ac;;9 - JESUS;3 - LA CREU COBERTA;;39.45311993960148, -0.3883308933450351
440;NEOBARCINO;4143;CARRER CIRIL AMORÓS 41;;2 - L'EIXAMPLE;2 - EL PLA DEL REMEI;;39.46756679844289, -0.3710847033044036
441;NEOBARCINO;4142;CARRER HERNÁN CORTÉS 22ac;;2 - L'EIXAMPLE;2 - EL PLA DEL REMEI;;39.46761856456816, -0.3710525168597235
444;;3658;AVINGUDA ANTONIO FERRANDIS (ACTOR) 28;;10 - QUATRE CARRERES;7 - CIUTAT DE LES ARTS I DE LES CIENCIES;;39.44724362285335, -0.3670617801960466
448;MODO08-1800;3653;AVINGUDA ANTONIO FERRANDIS (ACTOR) 28;;10 - QUATRE CARRERES;7 - CIUTAT DE LES ARTS I DE LES CIENCIES;;39.44744714109398, -0.36680521377586633
449;MODO08-1800;3652;AVINGUDA ANTONIO FERRANDIS (ACTOR) 28;;10 - QUATRE CARRERES;7 - CIUTAT DE LES ARTS I DE LES CIENCIES;;39.44741561703334, -0.3668821803141383
450;MODO08-1800;3651;AVINGUDA ANTONIO FERRANDIS (ACTOR) 28;;10 - QUATRE CARRERES;7 - CIUTAT DE LES ARTS I DE LES CIENCIES;;39.4475813042561, -0.3668565252278375
451;MODO08-1800;3650;AVINGUDA ANTONIO FERRANDIS (ACTOR) 28;;10 - QUATRE CARRERES;7 - CIUTAT DE LES ARTS I DE LES CIENCIES;;39.447563295372646, -0.366770224062856
452;MODO08-1800;3649;AVINGUDA ANTONIO FERRANDIS (ACTOR) 28;;10 - QUATRE CARRERES;7 - CIUTAT DE LES ARTS I DE LES CIENCIES;;39.44765335175221, -0.3668297025585521
454;MODO08-1800;3646;CARRERA FONTETA DE SANT LLUÍS 153;;10 - QUATRE CARRERES;7 - CIUTAT DE LES ARTS I DE LES CIENCIES;;39.447753288015285, -0.3670227951590018
455;MODO08-1800;3645;AVINGUDA ANTONIO FERRANDIS (ACTOR) 28;;10 - QUATRE CARRERES;7 - CIUTAT DE LES ARTS I DE LES CIENCIES;;39.447661429671264, -0.36696215023916295
459;MODO08-1800;3639;AVINGUDA ALCALDE GISBERT RICO 44ac;;10 - QUATRE CARRERES;5 - NA ROVELLA;;39.44794598326407, -0.36711491515386757
463;MEDITERRANEO;3626;CARRER JUAN RAMON JIMÉNEZ 27;;10 - QUATRE CARRERES;3 - MALILLA;;39.454543151484565, -0.37593624662136577
464;MEDITERRANEO;3625;CARRER OLTÀ 41;;10 - QUATRE CARRERES;3 - MALILLA;;39.45267611035073, -0.37576994913246403
465;MEDITERRANEO;3624;CARRER OLTÀ 50ac;;10 - QUATRE CARRERES;3 - MALILLA;;39.452485571662976, -0.3756640017613201
466;MEDITERRANEO;3623;CARRER BERNAT DESCOLL 24;;10 - QUATRE CARRERES;3 - MALILLA;;39.451662315263654, -0.37541992118485606
467;MEDITERRANEO;3622;CARRER JOAQUIM BENLLOCH 75;;10 - QUATRE CARRERES;3 - MALILLA;;39.4496823180723, -0.37380791294411353
472;MEDITERRANEO;3245;CARRER MANUELA BALLESTER (PINTORA) 14ac;;16 - BENICALAP;1 - BENICALAP;;39.49420931350423, -0.38083572136808197
474;MEDITERRANEO;3242;CAMÍ MONTCADA 93;;16 - BENICALAP;1 - BENICALAP;;39.494628453184895, -0.3815867405996267
478;MEDITERRANEO;3238;CAMÍ MONTCADA 93;;16 - BENICALAP;1 - BENICALAP;;39.49472676991732, -0.3816269738458034
