"Barrio"	"Distrito"	"Indice_Vuln"	"Areas de barrios"	"Zones verd"	"Densitat_p"	"turismes_e"	"atur_16_64"	"renda_mitj"	"risc_pobre"	"Index_Equi"	"Index_Soci"	"Index_Glob"	"Num_bancos"	"Precio_2022 (Euros/m2) de compra"	"Precio_2010 (Euros/m2) de compra"	"Precio_2022 (Euros/m2) de alquiler"	"Precio_2010 (Euros/m2) de alquiler"	"Importe Recibos personalidad F"	"Importe Recibos personalidad J"	"Importe Recibos sin personalidad"	"Imp.Recibos Actv.Almacen-Estacionamiento"	"Imp. Recibos Actv. Comercial"	"Imp. Recibos Actv. Cultural"	"Imp. Recibos Actv. Deportiva"	"Imp.Recibos Actv.Edificio singular"	"Imp. Recibos Actv. Espectaculos"	"Imp. Recibos Actv. Industrial"	"Imp.Recibos Actv.Obras urbanizacion"	"Imp.Recibos Actv.Ocio y Hosteleria"	"Imp. Recibos Actv. Oficinas"	"Imp. Recibos Actv. Religiosas"	"Imp. Recibos Actv. Residencial"	"Imp.Recibos Actv.Sanidad y Beneficiencia"	"Importe Recibos totales"
"48"	"LA LLUM"	"L'OLIVERETA"	"No Vulnerable"	NA	933	86410.57	11.35	31.59	11032.33	18.4	2.87	2.93	3.04	4	1322	1162	8.6	6	787780.03	63487.36	12864.67	69112.38	62793.82	3745.84	1675.91	373.13	0	6141.54	3770.9	0	22121.41	0	694036.93	360.2	864132.06
"49"	"LA MALVA-ROSA"	"POBLATS MARITIMS"	"Vulnerable"	NA	2613	266517.02	12.27	124.53	10064.78	25.01	2.83	2.16	2.64	139	1820	1315	9.7	6.4	1686009.12	219379.39	7199.29	99904.98	100881.98	14981.27	12210.61	314.04	553.11	25470.56	37099.97	16829.18	3152.02	0	1551357.84	49832.24	1912587.8
"50"	"LA PETXINA"	"EXTRAMURS"	"No Vulnerable"	496668.75	1509	408076.9	12.09	109.94	13878.92	17.63	3.63	3.61	3.32	47	2238	1794	9.4	6.3	3624068.34	630531.45	21951.29	316941.78	612543.81	24771.67	0	0	0	21445.52	14822.21	36672.77	43509.24	892.75	3185870.08	19081.25	4276551.08
"51"	"LA PUNTA"	"QUATRE CARRERES"	"Vulnerable"	NA	557	166.6	14.07	14.59	8823	33.8	1.62	2.39	2.14	22	1967	1166	9.7	7.1	626151.94	1229170.42	8273.02	47550.92	49769.69	0	346.77	0	0	309913.53	308182.84	11104.52	418499.8	0	594458.42	123768.89	1863595.38
"52"	"LA RAIOSA"	"JESUS"	"Pot. Vulnerable"	375448.375	528	480181.15	12.15	118.91	11054.91	25.75	2.92	2.9	2.85	14	1796	1472	7.3	5.6	2725304.47	588300.3	20702.02	244849.57	384662.86	3733.41	1650.22	37621.3	4448.59	18142.74	12594.33	5444.88	163728.95	0	2372336.16	85093.78	3334306.79
"53"	"LA ROQUETA"	"EXTRAMURS"	"No Vulnerable"	230568.40625	148	61839.84	12.42	24.12	15711.55	21.77	3	3.62	3.16	23	3044	1794	10.4	6.3	1488732.49	863573.59	127403.89	153550.94	331068.42	4360.39	6685.08	173837.91	1643.01	11985.82	351.586666666667	71298.74	438262.21	0	1276748.03	10269.42	2479709.97
"54"	"LA SEU"	"CIUTAT VELLA"	"No Vulnerable"	221074.10938	284	41394.98	12.59	21.91	17376	14.97	3.19	4.04	3.59	34	3545	2395	13.2	7.1	991567.15	759379.1	15597.51	117297.69	222843.15	63701.1	0	183072.11	4643.18	1062.87	6121.77	68401.13	105644.13	0	992387.55	1369.08	1766543.76
"55"	"LA TORRE"	"POBLATS DEL SUD"	"Vulnerable"	NA	1310	32923.6	12.54	52.84	8727.5	32.98	2.08	2.03	2.54	6	NA	NA	NA	NA	623151.88	68975.61	10325.27	61822.86	64142.03	920.83	0	338.31	0	30716.57	19505.38	948.52	2058.95	0	521999.31	0	702452.76
"56"	"LA VEGA BAIXA"	"ALGIROS"	"No Vulnerable"	193497.71875	1193	29340.03	45.2	7.16	15807.25	12.68	3	4.03	3.37	49	2221	1976	9.4	6.7	1555256.9	238987.54	46857.24	119167.01	267946.2	771.2	7124.21	0	1114.08	21170.57	575	6090.1	24897.71	0	1387328.77	4916.83	1841101.68
"57"	"LA XEREA"	"CIUTAT VELLA"	"No Vulnerable"	311649.9375	948	53962.31	11.93	20.22	21397.5	15.4	2.96	4.27	3.36	36	3393	2395	11.8	7.1	1768208.57	1341975.5	33363.41	232192.89	393232.92	21103.89	0	55039.72	0	6716.78	6805.21	133324.08	606117.36	0	1629872.46	59142.17	3143547.48
